rh.pial.area	rh.pial	BrainSegVolNotVent	eTIV
SUBJ134/SUBJ134_ses-1	102395.0	1093604.0	1536925.86533
SUBJ134/SUBJ134_ses-1.long.SUBJ134_tmpl	101312.0	1083630.0	1544184.05599
SUBJ134/SUBJ134_ses-2	101929.0	1088842.0	1537697.97929
SUBJ134/SUBJ134_ses-2.long.SUBJ134_tmpl	101508.0	1087523.0	1544184.05599
SUBJ134/SUBJ134_ses-3	101092.0	1088254.0	1560389.27444
SUBJ134/SUBJ134_ses-3.long.SUBJ134_tmpl	101018.0	1082019.0	1544184.05599
SUBJ135/SUBJ135_ses-1	102325.0	999332.0	1537554.02585
SUBJ135/SUBJ135_ses-1.long.SUBJ135_tmpl	101294.0	984202.0	1541878.27619
SUBJ135/SUBJ135_ses-2	101182.0	983048.0	1545061.2026
SUBJ135/SUBJ135_ses-2.long.SUBJ135_tmpl	100683.0	976774.0	1541878.27619
SUBJ135/SUBJ135_ses-3	100856.0	975225.0	1408771.03624
SUBJ135/SUBJ135_ses-3.long.SUBJ135_tmpl	101104.0	978948.0	1541878.27619
SUBJ136/SUBJ136_ses-1	91206.0	851531.0	1365221.81121
SUBJ136/SUBJ136_ses-1.long.SUBJ136_tmpl	90366.0	847364.0	1371873.88859
SUBJ136/SUBJ136_ses-2	91822.0	835518.0	1375377.42332
SUBJ136/SUBJ136_ses-2.long.SUBJ136_tmpl	90013.0	832039.0	1371873.88859
SUBJ137/SUBJ137_ses-1	97490.0	976332.0	1528724.43474
SUBJ137/SUBJ137_ses-1.long.SUBJ137_tmpl	96712.0	972172.0	1527984.0196
SUBJ137/SUBJ137_ses-2	96709.0	963389.0	1532967.16899
SUBJ137/SUBJ137_ses-2.long.SUBJ137_tmpl	95997.0	959783.0	1527984.0196
SUBJ137/SUBJ137_ses-3	96462.0	974051.0	1373332.06183
SUBJ137/SUBJ137_ses-3.long.SUBJ137_tmpl	98000.0	976932.0	1527984.0196
SUBJ138/SUBJ138_ses-1	113302.0	1174294.0	1695466.98637
SUBJ138/SUBJ138_ses-1.long.SUBJ138_tmpl	114055.0	1158503.0	1691059.75913
SUBJ138/SUBJ138_ses-2	96693.0	1032897.0	1412645.54558
